año,genero,cantidad
1912-01-01,Reality-TV,11
1912-01-01,Romance,175
1912-01-01,Sci-Fi,38
1912-01-01,Short,609
1912-01-01,Sport,23
1912-01-01,Talk-Show,7
1912-01-01,Thriller,118
1912-01-01,War,37
1912-01-01,Western,73
1913-01-01,Action,115
1913-01-01,Adult,56
1913-01-01,Adventure,80
1913-01-01,Animation,110
1913-01-01,Biography,43
1913-01-01,Comedy,347
1913-01-01,Crime,132
1913-01-01,Documentary,148
1913-01-01,Drama,473
1913-01-01,Family,90
1913-01-01,Fantasy,81
1913-01-01,Game-Show,9
1913-01-01,History,51
1913-01-01,Horror,100
1913-01-01,Music,50
1913-01-01,Musical,39
1913-01-01,Mystery,79
1913-01-01,News,9
1913-01-01,Reality-TV,15
1913-01-01,Romance,152
1913-01-01,Sci-Fi,68
1913-01-01,Short,613
1913-01-01,Sport,26
1913-01-01,Talk-Show,7
1913-01-01,Thriller,164
1913-01-01,War,44
1913-01-01,Western,52
1914-01-01,Action,90
1914-01-01,Adult,32
1914-01-01,Adventure,68
1914-01-01,Animation,89
1914-01-01,Biography,30
1914-01-01,Comedy,328
1914-01-01,Crime,109
1914-01-01,Documentary,117
1914-01-01,Drama,397
1914-01-01,Family,83
1914-01-01,Fantasy,52
1914-01-01,Game-Show,8
1914-01-01,History,35
1914-01-01,Horror,71
1914-01-01,Music,43
1914-01-01,Musical,29
1914-01-01,Mystery,87
1914-01-01,News,4
1914-01-01,Reality-TV,13
1914-01-01,Romance,138
1914-01-01,Sci-Fi,38
1914-01-01,Short,510
1914-01-01,Sport,14
1914-01-01,Talk-Show,7
1914-01-01,Thriller,134
1914-01-01,War,30
1914-01-01,Western,62
1915-01-01,Action,98
1915-01-01,Adult,35
1915-01-01,Adventure,66
1915-01-01,Animation,83
1915-01-01,Biography,27
1915-01-01,Comedy,326
1915-01-01,Crime,104
1915-01-01,Documentary,90
1915-01-01,Drama,395
1915-01-01,Family,55
1915-01-01,Fantasy,48
1915-01-01,Game-Show,5
1915-01-01,History,41
1915-01-01,Horror,78
1915-01-01,Music,36
1915-01-01,Musical,29
1915-01-01,Mystery,76
1915-01-01,News,11
1915-01-01,Reality-TV,11
1915-01-01,Romance,134
1915-01-01,Sci-Fi,39
1915-01-01,Short,484
1915-01-01,Sport,17
1915-01-01,Talk-Show,3
1915-01-01,Thriller,119
1915-01-01,War,37
1915-01-01,Western,69
1916-01-01,Action,89
1916-01-01,Adult,39
1916-01-01,Adventure,64
1916-01-01,Animation,85
1916-01-01,Biography,27
1916-01-01,Comedy,264
1916-01-01,Crime,104
1916-01-01,Documentary,105
1916-01-01,Drama,323
1916-01-01,Family,60
1916-01-01,Fantasy,57
1916-01-01,Game-Show,8
1916-01-01,History,26
1916-01-01,Horror,59
1916-01-01,Music,45
1916-01-01,Musical,23
1916-01-01,Mystery,78
1916-01-01,News,5
1916-01-01,Reality-TV,9
1916-01-01,Romance,119
1916-01-01,Sci-Fi,45
1916-01-01,Short,357
1916-01-01,Sport,19
1916-01-01,Talk-Show,7
1916-01-01,Thriller,108
1916-01-01,War,36
1916-01-01,Western,39
1917-01-01,Action,68
1917-01-01,Adult,33
1917-01-01,Adventure,76
1917-01-01,Animation,70
1917-01-01,Biography,25
1917-01-01,Comedy,244
1917-01-01,Crime,72
1917-01-01,Documentary,81
1917-01-01,Drama,285
1917-01-01,Family,48
1917-01-01,Fantasy,38
1917-01-01,Game-Show,5
1917-01-01,History,29
1917-01-01,Horror,56
1917-01-01,Music,25
1917-01-01,Musical,30
1917-01-01,Mystery,43
1917-01-01,News,7
1917-01-01,Reality-TV,8
1917-01-01,Romance,103
1917-01-01,Sci-Fi,28
1917-01-01,Short,299
1917-01-01,Sport,10
1917-01-01,Talk-Show,4
1917-01-01,Thriller,76
1917-01-01,War,29
1917-01-01,Western,63
1918-01-01,Action,55
1918-01-01,Adult,29
1918-01-01,Adventure,39
1918-01-01,Animation,59
1918-01-01,Biography,25
1918-01-01,Comedy,194
1918-01-01,Crime,50
1918-01-01,Documentary,74
1918-01-01,Drama,236
1918-01-01,Family,34
1918-01-01,Fantasy,31
1918-01-01,Game-Show,7
1918-01-01,History,20
1918-01-01,Horror,41
1918-01-01,Music,21
1918-01-01,Musical,23
1918-01-01,Mystery,35
1918-01-01,News,8
1918-01-01,Reality-TV,6
1918-01-01,Romance,92
1918-01-01,Sci-Fi,35
1918-01-01,Short,236
1918-01-01,Sport,11
1918-01-01,Talk-Show,2
1918-01-01,Thriller,67
1918-01-01,War,38
1918-01-01,Western,50
1919-01-01,Action,48
1919-01-01,Adult,24
1919-01-01,Adventure,40
1919-01-01,Animation,51
1919-01-01,Biography,17
1919-01-01,Comedy,198
1919-01-01,Crime,57
1919-01-01,Documentary,65
1919-01-01,Drama,207
1919-01-01,Family,34
1919-01-01,Fantasy,29
1919-01-01,Game-Show,5
1919-01-01,History,19
1919-01-01,Horror,26
1919-01-01,Music,27
1919-01-01,Musical,20
1919-01-01,Mystery,31
1919-01-01,News,1
1919-01-01,Reality-TV,6
1919-01-01,Romance,90
1919-01-01,Sci-Fi,18
1919-01-01,Short,220
1919-01-01,Sport,9
1919-01-01,Talk-Show,3
1919-01-01,Thriller,49
1919-01-01,War,19
1919-01-01,Western,62
1920-01-01,Action,49
1920-01-01,Adult,43
1920-01-01,Adventure,49
1920-01-01,Animation,66
1920-01-01,Biography,17
1920-01-01,Comedy,212
1920-01-01,Crime,46
1920-01-01,Documentary,68
1920-01-01,Drama,245
1920-01-01,Family,44
1920-01-01,Fantasy,29
1920-01-01,Game-Show,2
1920-01-01,History,17
1920-01-01,Horror,54
1920-01-01,Music,22
1920-01-01,Musical,21
1920-01-01,Mystery,35
1920-01-01,News,4
1920-01-01,Reality-TV,9
1920-01-01,Romance,95
1920-01-01,Sci-Fi,33
1920-01-01,Short,228
1920-01-01,Sport,16
1920-01-01,Talk-Show,3
1920-01-01,Thriller,60
1920-01-01,War,10
1920-01-01,Western,46
1921-01-01,Action,73
1921-01-01,Adult,39
1921-01-01,Adventure,65
1921-01-01,Animation,88
1921-01-01,Biography,20
1921-01-01,Comedy,224
1921-01-01,Crime,62
1921-01-01,Documentary,102
1921-01-01,Drama,248
1921-01-01,Family,57
1921-01-01,Fantasy,46
1921-01-01,Game-Show,5
1921-01-01,History,16
1921-01-01,Horror,47
1921-01-01,Music,31
1921-01-01,Musical,26
1921-01-01,Mystery,43
1921-01-01,News,7
1921-01-01,Reality-TV,7
1921-01-01,Romance,110
1921-01-01,Sci-Fi,37
1921-01-01,Short,271
1921-01-01,Sport,21
1921-01-01,Talk-Show,2
1921-01-01,Thriller,62
1921-01-01,War,13
1921-01-01,Western,49
1922-01-01,Action,58
1922-01-01,Adult,24
1922-01-01,Adventure,37
1922-01-01,Animation,73
1922-01-01,Biography,21
1922-01-01,Comedy,198
1922-01-01,Crime,50
1922-01-01,Documentary,69
1922-01-01,Drama,217
1922-01-01,Family,57
1922-01-01,Fantasy,32
1922-01-01,Game-Show,1
1922-01-01,History,21
1922-01-01,Horror,31
1922-01-01,Music,26
1922-01-01,Musical,16
1922-01-01,Mystery,39
1922-01-01,News,12
1922-01-01,Reality-TV,10
1922-01-01,Romance,104
1922-01-01,Sci-Fi,17
1922-01-01,Short,241
1922-01-01,Sport,17
1922-01-01,Talk-Show,1
1922-01-01,Thriller,47
1922-01-01,War,11
1922-01-01,Western,43
1923-01-01,Action,41
1923-01-01,Adult,17
1923-01-01,Adventure,42
1923-01-01,Animation,48
1923-01-01,Biography,13
1923-01-01,Comedy,191
1923-01-01,Crime,40
1923-01-01,Documentary,47
1923-01-01,Drama,209
1923-01-01,Family,43
1923-01-01,Fantasy,24
1923-01-01,Game-Show,3
1923-01-01,History,18
1923-01-01,Horror,32
1923-01-01,Music,18
1923-01-01,Musical,22
1923-01-01,Mystery,32
1923-01-01,News,7
1923-01-01,Reality-TV,3
1923-01-01,Romance,86
1923-01-01,Sci-Fi,21
1923-01-01,Short,222
1923-01-01,Sport,13
1923-01-01,Talk-Show,3
1923-01-01,Thriller,46
1923-01-01,War,21
1923-01-01,Western,27
1924-01-01,Action,64
1924-01-01,Adult,25
1924-01-01,Adventure,49
1924-01-01,Animation,71
1924-01-01,Biography,15
1924-01-01,Comedy,242
1924-01-01,Crime,43
1924-01-01,Documentary,58
1924-01-01,Drama,199
1924-01-01,Family,46
1924-01-01,Fantasy,24
1924-01-01,Game-Show,3
1924-01-01,History,20
1924-01-01,Horror,27
1924-01-01,Music,21
1924-01-01,Musical,26
1924-01-01,Mystery,34
1924-01-01,News,12
1924-01-01,Reality-TV,5
1924-01-01,Romance,101
1924-01-01,Sci-Fi,16
1924-01-01,Short,256
1924-01-01,Sport,26
1924-01-01,Talk-Show,4
1924-01-01,Thriller,41
1924-01-01,War,16
1924-01-01,Western,48
1925-01-01,Action,67
1925-01-01,Adult,23
1925-01-01,Adventure,57
1925-01-01,Animation,101
1925-01-01,Biography,17
1925-01-01,Comedy,286
1925-01-01,Crime,55
1925-01-01,Documentary,63
1925-01-01,Drama,249
1925-01-01,Family,57
1925-01-01,Fantasy,22
1925-01-01,Game-Show,3
1925-01-01,History,13
1925-01-01,Horror,35
1925-01-01,Music,24
1925-01-01,Musical,23
1925-01-01,Mystery,29
1925-01-01,News,5
1925-01-01,Reality-TV,5
1925-01-01,Romance,125
1925-01-01,Sci-Fi,19
1925-01-01,Short,297
1925-01-01,Sport,14
1925-01-01,Talk-Show,5
1925-01-01,Thriller,60
1925-01-01,War,17
1925-01-01,Western,54
1926-01-01,Action,61
1926-01-01,Adult,16
1926-01-01,Adventure,57
1926-01-01,Animation,99
1926-01-01,Biography,12
1926-01-01,Comedy,293
1926-01-01,Crime,36
1926-01-01,Documentary,57
1926-01-01,Drama,204
1926-01-01,Family,45
1926-01-01,Fantasy,25
1926-01-01,Game-Show,3
1926-01-01,History,13
1926-01-01,Horror,21
1926-01-01,Music,22
1926-01-01,Musical,25
1926-01-01,Mystery,23
1926-01-01,News,5
1926-01-01,Reality-TV,2
1926-01-01,Romance,118
1926-01-01,Sci-Fi,13
1926-01-01,Short,298
1926-01-01,Sport,10
1926-01-01,Talk-Show,5
1926-01-01,Thriller,34
1926-01-01,War,24
1926-01-01,Western,63
1927-01-01,Action,59
1927-01-01,Adult,29
1927-01-01,Adventure,53
1927-01-01,Animation,96
